x,y,pen
1061,543,2
1061,544,2
1060,545,2
1059,546,2
1059,547,2
1055,548,2
1056,548,2
1057,548,2
1058,548,2
1047,549,2
1048,549,2
1049,549,2
1050,549,2
1051,549,2
1052,549,2
1053,549,2
1054,549,2
1039,550,2
1040,550,2
1041,550,2
1042,550,2
1043,550,2
1044,550,2
1045,550,2
1046,550,2
1031,551,2
1032,551,2
1033,551,2
1034,551,2
1035,551,2
1036,551,2
1037,551,2
1038,551,2
1027,552,2
1028,552,2
1029,552,2
1030,552,2
1086,546,1
1087,547,2
1088,548,2
1089,549,2
1090,550,2
1091,551,2
1092,552,2
1093,553,2
1094,554,2
1095,555,2
1095,556,2
1096,557,2
1097,558,2
1098,559,2
1099,560,2
1100,561,2
1101,562,2
1102,563,2
1103,564,2
1104,565,2
1105,566,2
1105,567,2
1106,568,2
1106,569,2
1107,570,2
1107,571,2
1108,572,2
1109,573,2
1109,574,2
1110,575,2
1110,576,2
1111,577,2
1112,578,2
1112,579,2
1113,580,2
1113,581,2
1114,582,2
1114,583,2
1115,584,2
1116,585,2
1116,586,2
1117,587,2
1117,588,2
1118,589,2
1118,590,2
1117,591,2
1117,592,2
1116,593,2
1116,594,2
1115,595,2
1115,596,2
1115,597,2
1114,598,2
1114,599,2
1113,600,2
1113,601,2
1112,602,2
1112,603,2
1112,604,2
1111,605,2
1111,606,2
1110,607,2
1110,608,2
1109,609,2
1109,610,2
1109,611,2
1108,612,2
1108,613,2
1107,614,2
1107,615,2
1106,616,2
1106,617,2
968,591,1
969,591,2
970,591,2
971,591,2
972,591,2
962,592,2
963,592,2
964,592,2
965,592,2
966,592,2
967,592,2
973,592,2
974,592,2
975,592,2
976,592,2
957,593,2
958,593,2
959,593,2
960,593,2
961,593,2
977,593,2
978,593,2
979,593,2
980,593,2
951,594,2
952,594,2
953,594,2
954,594,2
955,594,2
956,594,2
981,594,2
982,594,2
983,594,2
984,594,2
1016,594,2
1017,594,2
1018,594,2
1019,594,2
1020,594,2
1021,594,2
945,595,2
946,595,2
947,595,2
948,595,2
949,595,2
950,595,2
985,595,2
986,595,2
987,595,2
988,595,2
1008,595,2
1009,595,2
1010,595,2
1011,595,2
1012,595,2
1013,595,2
1014,595,2
1015,595,2
1022,595,2
1023,595,2
1024,595,2
1025,595,2
940,596,2
941,596,2
942,596,2
943,596,2
944,596,2
989,596,2
990,596,2
991,596,2
992,596,2
999,596,2
1000,596,2
1001,596,2
1002,596,2
1003,596,2
1004,596,2
1005,596,2
1006,596,2
1007,596,2
1026,596,2
1027,596,2
1028,596,2
934,597,2
935,597,2
936,597,2
937,597,2
938,597,2
939,597,2
993,597,2
994,597,2
995,597,2
996,597,2
997,597,2
998,597,2
1029,597,2
1030,597,2
1031,597,2
930,598,2
931,598,2
932,598,2
933,598,2
1032,598,2
1033,598,2
1034,598,2
1035,598,2
926,599,2
927,599,2
928,599,2
929,599,2
1036,599,2
1037,599,2
1038,599,2
922,600,2
923,600,2
924,600,2
925,600,2
1039,600,2
1040,600,2
1041,600,2
1042,600,2
919,601,2
920,601,2
921,601,2
1043,601,2
1044,601,2
1045,601,2
915,602,2
916,602,2
